bus_id,time,ridership_count
15189,685,0
4885,685,0
19051,685,0
6556,685,0
20281,685,1
4857,685,1
4856,685,2
13208,685,0
15188,685,0
6557,685,0
18014,685,0
6553,685,0
13215,685,1
4864,685,1
13213,685,2
13216,685,0
18021,685,1
6555,685,0
7149,685,0
18018,685,0
13209,685,1
19412,685,1
13211,685,0
15187,685,0
18620,685,0
17625,685,1
18018,690,0
6557,690,0
4885,690,0
15187,690,0
7149,690,1
20281,690,3
19051,690,6
17625,690,0
15188,690,0
19050,690,0
13216,690,1
6556,690,0
6555,690,0
13211,690,0
18021,690,1
13208,690,1
4857,690,1
18620,690,0
15189,690,0
20283,690,1
13213,690,3
20285,690,0
13215,690,0
19412,690,1
4864,690,0
17626,690,0
4855,690,0
9418,690,0
18020,690,0
13209,690,0
4856,690,2
7151,690,1
18014,690,3
6553,690,0
13215,695,0
13216,695,0
6557,695,0
13211,695,0
18018,695,0
19051,695,10
20281,695,3
20285,695,0
15187,695,11
17626,695,0
18620,695,1
6553,695,0
18014,695,3
4864,695,0
13213,695,0
13208,695,1
18021,695,1
13209,695,1
7151,695,1
4885,695,1
7149,695,1
18020,695,1
9418,695,0
19050,695,0
6556,695,0
15188,695,1
4855,695,4
15189,695,0
17625,695,0
20283,695,1
19412,695,1
6555,695,0
4856,695,0
4857,695,1
13216,700,0
15187,700,11
17625,700,0
7151,700,1
4857,700,1
4855,700,4
15189,700,1
20285,700,0
17626,700,0
13215,700,1
9418,700,0
13209,700,1
18014,700,1
4864,700,0
6553,700,0
18021,700,0
15188,700,3
6557,700,0
18020,700,3
19051,700,13
18018,700,0
18620,700,1
13208,700,1
19412,700,3
20283,700,0
19050,700,0
6555,700,0
7149,700,1
13213,700,4
20281,700,3
6556,700,0
4856,700,0
4885,700,4
13211,700,0
6555,705,0
15187,705,11
4855,705,9
4864,705,1
13213,705,6
18018,705,0
18021,705,2
7149,705,1
20285,705,1
4885,705,10
6557,705,0
20283,705,1
19050,705,0
4857,705,4
6556,705,0
13216,705,1
4856,705,0
19412,705,2
15188,705,0
13211,705,1
19051,705,16
18020,705,3
13215,705,4
9418,705,0
7151,705,1
20281,705,3
18620,705,0
6553,705,0
13209,705,0
17626,705,7
18014,705,0
15189,705,4
17625,705,7
13208,705,1
9418,710,0
13216,710,1
18020,710,3
20283,710,4
6557,710,2
15189,710,1
19051,710,15
19412,710,2
4885,710,10
6553,710,0
18014,710,1
4864,710,2
15187,710,6
4855,710,10
18021,710,3
20285,710,0
13211,710,1
19050,710,4
6555,710,0
18018,710,0
7149,710,5
15188,710,0
20281,710,7
4857,710,6
13213,710,4
13215,710,5
13209,710,0
17625,710,9
13208,710,3
6556,710,0
7151,710,4
4856,710,7
17626,710,7
18620,710,0
18018,715,0
20285,715,4
6557,715,1
17626,715,1
20281,715,7
19050,715,0
13211,715,1
20283,715,3
13215,715,5
15188,715,0
4857,715,3
15189,715,1
4864,715,2
17625,715,3
7151,715,7
19412,715,7
15187,715,4
19051,715,22
18014,715,3
18021,715,5
7149,715,6
13213,715,8
18020,715,3
18620,715,0
4856,715,7
13208,715,3
13209,715,1
6556,715,0
4855,715,10
6553,715,0
6555,715,0
9418,715,2
4885,715,3
13216,715,1
15188,720,1
6553,720,0
4857,720,10
13209,720,1
4864,720,1
13215,720,7
7149,720,6
17625,720,0
18021,720,5
7151,720,8
19412,720,16
20285,720,0
15187,720,4
4855,720,9
15189,720,1
19050,720,0
20283,720,6
6556,720,0
6557,720,0
13216,720,1
6555,720,0
9418,720,3
18620,720,0
13213,720,6
20281,720,8
4851,720,0
17626,720,1
18018,720,0
19051,720,27
4856,720,7
13211,720,0
4885,720,1
13208,720,4
18014,720,3
18020,720,3
4885,725,4
18020,725,13
15187,725,4
20285,725,0
9418,725,3
4856,725,7
7149,725,4
4851,725,9
4857,725,7
13209,725,0
18018,725,0
13208,725,10
13215,725,6
20283,725,9
6557,725,0
15189,725,1
4855,725,9
18021,725,4
13216,725,1
6553,725,0
15188,725,7
19051,725,30
18014,725,0
18620,725,0
13211,725,1
13213,725,8
17625,725,0
19050,725,0
20281,725,10
7151,725,9
6555,725,0
19412,725,14
4864,725,1
6556,725,2
17626,725,1
4885,730,7
13216,730,1
9418,730,0
18018,730,0
20283,730,9
19051,730,30
6555,730,0
13211,730,4
4864,730,1
17626,730,1
6557,730,0
13213,730,3
4851,730,10
20281,730,11
18620,730,3
19412,730,5
13215,730,15
15189,730,3
7151,730,13
6556,730,0
20285,730,0
15187,730,4
18014,730,2
4855,730,15
17625,730,5
19050,730,3
7149,730,4
4856,730,3
18020,730,22
4857,730,11
13209,730,0
13208,730,10
6553,730,0
18021,730,7
15188,730,7
13209,735,3
18620,735,4
20281,735,12
6556,735,0
4855,735,16
6553,735,0
18014,735,6
13213,735,1
4856,735,0
9418,735,0
18021,735,7
7151,735,13
13216,735,3
19412,735,4
20285,735,0
15187,735,9
4864,735,4
15189,735,0
17625,735,8
7149,735,4
13208,735,5
4857,735,11
15188,735,2
18020,735,24
17626,735,4
19050,735,1
18018,735,0
19051,735,30
6555,735,0
13211,735,4
6557,735,0
4885,735,7
20283,735,3
4851,735,13
13215,735,18
18021,740,10
7149,740,7
4885,740,3
13208,740,4
6555,740,0
17626,740,4
19412,740,4
20281,740,10
13216,740,3
13211,740,1
19051,740,30
19050,740,2
15188,740,4
4857,740,6
17625,740,8
6556,740,0
7151,740,19
15187,740,9
13213,740,1
20283,740,3
6553,740,0
20285,740,2
18014,740,10
13215,740,4
18018,740,0
6557,740,0
4851,740,16
4855,740,12
18020,740,14
13209,740,3
9418,740,0
4856,740,0
4864,740,4
15189,740,0
18620,740,0
18014,745,4
18620,745,3
4856,745,1
4857,745,5
15187,745,9
13215,745,13
18020,745,4
15188,745,4
20283,745,3
7149,745,7
18018,745,0
6557,745,0
15189,745,2
13211,745,1
19050,745,2
18021,745,12
13213,745,0
19412,745,7
17625,745,3
20285,745,0
7151,745,13
17626,745,3
4855,745,7
9418,745,1
20281,745,8
4851,745,11
4864,745,0
6555,745,0
19051,745,22
4885,745,5
13208,745,4
6553,745,0
13216,745,0
13209,745,0
6556,745,0
19051,750,24
7149,750,7
13213,750,3
18620,750,3
6553,750,0
18014,750,0
4855,750,1
13216,750,2
18021,750,12
4857,750,2
13211,750,1
6555,750,0
13208,750,7
20284,750,0
4856,750,0
6556,750,0
4851,750,10
17626,750,4
13209,750,0
13215,750,13
7151,750,16
20285,750,0
17625,750,2
15188,750,4
19050,750,4
18018,750,0
19412,750,14
20281,750,9
18020,750,5
4864,750,1
9418,750,5
15187,750,6
6557,750,0
15189,750,3
20283,750,7
4885,750,3
4864,755,4
9418,755,0
6553,755,0
18018,755,0
13215,755,13
7151,755,4
15188,755,1
18620,755,1
4857,755,2
13213,755,2
20283,755,9
6557,755,0
17626,755,4
18020,755,5
17625,755,9
19050,755,2
20285,755,1
4851,755,2
13209,755,0
13211,755,1
13208,755,7
20284,755,0
18014,755,0
20281,755,10
6555,755,0
4856,755,3
18021,755,7
13216,755,1
19412,755,10
15189,755,1
15187,755,5
4885,755,5
6556,755,0
4855,755,2
7149,755,1
19051,755,20
13208,760,2
15188,760,1
18021,760,10
17625,760,15
19050,760,0
6555,760,0
7149,760,1
4851,760,5
20284,760,0
20285,760,0
4864,760,4
7151,760,5
13215,760,16
4885,760,7
18018,760,0
9418,760,0
13209,760,1
18020,760,0
6556,760,0
4857,760,1
4856,760,3
13216,760,1
4855,760,3
18620,760,1
6553,760,0
